Where should I send the passport application form?,"To the Consular Affairs Department at the Yemeni Embassy in Islamabad at the following address: House #90, Main Margalla Road, F6/2, P.O. Box 1523, Islamabad, Pakistan."
What is the mailing address for the passport application form?,"To the Consular Affairs Department at the Yemeni Embassy in Islamabad at the following address: House #90, Main Margalla Road, F6/2, P.O. Box 1523, Islamabad, Pakistan."
Where do I need to submit my passport application?,"To the Consular Affairs Department at the Yemeni Embassy in Islamabad at the following address: House #90, Main Margalla Road, F6/2, P.O. Box 1523, Islamabad, Pakistan."
"What should residents of Kazakhstan, Kyrgyzstan, Maldives and Afghanistan do before sending a transaction?",You must contact the embassy before sending the application and completing the procedures.
"Do residents of Kazakhstan, Kyrgyzstan, Maldives, and Afghanistan need to do anything before sending a transaction?",You must contact the embassy before sending the application and completing the procedures.
"Should residents of Kazakhstan, Kyrgyzstan, Maldives, and Afghanistan contact the embassy before sending a transaction?",You must contact the embassy before sending the application and completing the procedures.
What is the first step to renew a passport?,"Provide the requirements mentioned below, then download the form and follow the specific instructions from the following link: https://yemenembassy.pk/files/passport-form.pdf"
How do I begin the passport renewal process?,"Provide the requirements mentioned below, then download the form and follow the specific instructions from the following link: https://yemenembassy.pk/files/passport-form.pdf"
What do I need to do first to renew my passport?,"Provide the requirements mentioned below, then download the form and follow the specific instructions from the following link: https://yemenembassy.pk/files/passport-form.pdf"
How should the name be written in the passport renewal form?,Write the full name in Arabic and English according to official documents.
In what format should the name be written in the passport renewal form?,Write the full name in Arabic and English according to official documents.
How should I fill out the name field in the passport renewal form?,Write the full name in Arabic and English according to official documents.
How is the date of birth written in the passport renewal form?,"Write the date of birth as follows (day/month/year), such as (02/14/1983 AD)."
What is the correct format for writing the date of birth in the passport renewal form?,"Write the date of birth as follows (day/month/year), such as (02/14/1983 AD)."
How should the date of birth be filled in on the passport renewal form?,"Write the date of birth as follows (day/month/year), such as (02/14/1983 AD)."
What must be attached if a correction is requested in the date of birth?,The original birth certificate or an exact color copy must be attached.
"If I need to correct my date of birth, what documents are required?",The original birth certificate or an exact color copy must be attached.
What documents do I need to provide to correct the date of birth on my passport?,The original birth certificate or an exact color copy must be attached.
What name should be written in the passport renewal form?,"The full name, surname, date and place of birth, and the mother’s full name, indicating her nationality, in addition to the data of the previous passport as shown in the form."
What details need to be included in the name section of the passport renewal form?,"The full name, surname, date and place of birth, and the mother’s full name, indicating her nationality, in addition to the data of the previous passport as shown in the form."
What information is required for the name field on the passport renewal form?,"The full name, surname, date and place of birth, and the mother’s full name, indicating her nationality, in addition to the data of the previous passport as shown in the form."
What is the address required to be written in the passport renewal form?,"The address outside Yemen must be written in Pakistan, Kazakhstan, Kyrgyzstan, the Maldives and Afghanistan, with a valid contact phone number."
How should the address be written in the passport renewal form?,"The address outside Yemen must be written in Pakistan, Kazakhstan, Kyrgyzstan, the Maldives and Afghanistan, with a valid contact phone number."
What is the correct way to list the address in the passport renewal form?,"The address outside Yemen must be written in Pakistan, Kazakhstan, Kyrgyzstan, the Maldives and Afghanistan, with a valid contact phone number."
What should be written next to the address inside Yemen?,You must write the phone number.
What additional information is needed next to the address inside Yemen?,You must write the phone number.
What must be included next to the address inside Yemen?,You must write the phone number.
How do I fingerprint or use my fingerprint and with which finger when filling out the passport renewal form?,The left hand thumbprint and signature must be placed.
Which finger should I use for fingerprinting on the passport renewal form?,The left hand thumbprint and signature must be placed.
What is the correct way to fingerprint the passport renewal form?,The left hand thumbprint and signature must be placed.
What should be attached to the passport renewal form?,The original of the previous passport to be replaced must be attached.
What documents need to accompany the passport renewal form?,The original of the previous passport to be replaced must be attached.
Which documents are required with the passport renewal form?,The original of the previous passport to be replaced must be attached.
What happens to old passports after new ones are issued?,All old passports will be canceled and returned with the new ones.
What is the fate of old passports after the issuance of new ones?,All old passports will be canceled and returned with the new ones.
Are old passports returned after issuing new ones?,All old passports will be canceled and returned with the new ones.
Are any sums of money paid at the Embassy of the Republic of Yemen in Islamabad?,"No, but it is paid in the country where an automatic passport is issued by the person following up on the file there."
Do I need to pay any fees at the Yemeni Embassy in Islamabad?,"No, but it is paid in the country where an automatic passport is issued by the person following up on the file there."
Are there any fees to be paid at the Yemen Embassy in Islamabad?,"No, but it is paid in the country where an automatic passport is issued by the person following up on the file there."
How many passport photos are required?,"Three recent passport photos not older than 6 months, colored front with a white background."
How many photos do I need for passport renewal?,"Three recent passport photos not older than 6 months, colored front with a white background."
What is the number of passport photos needed for renewal?,"Three recent passport photos not older than 6 months, colored front with a white background."
What are the specifications of the photos required to renew the passport?,"Do not wear sunglasses or prescription glasses, and do not wear any head covering at all except the hijab for women, size 2 by 2 inches, or 4 by 6 cm."
What are the photo requirements for passport renewal?,"Do not wear sunglasses or prescription glasses, and do not wear any head covering at all except the hijab for women, size 2 by 2 inches, or 4 by 6 cm."
What should the photos look like for passport renewal?,"Do not wear sunglasses or prescription glasses, and do not wear any head covering at all except the hijab for women, size 2 by 2 inches, or 4 by 6 cm."
What must be sent when requesting a change in profession?,"Proof of the new profession must be sent. If the profession is a merchant or businessman, the following documents must be attached: the employment contract or proof of that, the operational agreement, a color copy of the Yemeni ID card or the Pakistani ID card, if any."
What documents are needed to change my profession on my passport?,"Proof of the new profession must be sent. If the profession is a merchant or businessman, the following documents must be attached: the employment contract or proof of that, the operational agreement, a color copy of the Yemeni ID card or the Pakistani ID card, if any."
What do I need to provide for a profession change on my passport?,"Proof of the new profession must be sent. If the profession is a merchant or businessman, the following documents must be attached: the employment contract or proof of that, the operational agreement, a color copy of the Yemeni ID card or the Pakistani ID card, if any."
What must be filled out when obtaining a passport for a child?,"Fill out a form for each child, taking into account the requirements mentioned above."
What form needs to be completed to get a passport for a child?,"Fill out a form for each child, taking into account the requirements mentioned above."
How do I apply for a passport for my child?,"Fill out a form for each child, taking into account the requirements mentioned above."
How should the newborn’s name be written when obtaining a passport for a child?,The full name of the newborn must be written according to the birth certificate.
How should I write my newborn's name on the passport application?,The full name of the newborn must be written according to the birth certificate.
What is the correct way to fill out the newborn's name on the passport application?,The full name of the newborn must be written according to the birth certificate.
What must be attached when obtaining a passport for a child?,"A copy of the father’s passport, a copy of the mother’s passport, and the child’s original birth certificate must be attached."
What documents are required for obtaining a child's passport?,"A copy of the father’s passport, a copy of the mother’s passport, and the child’s original birth certificate must be attached."
Which documents should I submit for my child's passport application?,"A copy of the father’s passport, a copy of the mother’s passport, and the child’s original birth certificate must be attached."
What happens if the Yemeni passport is damaged?,Anyone who destroys his Yemeni passport will be fined a fine not exceeding the value of the passport.
Is there a penalty for damaging a Yemeni passport?,Anyone who destroys his Yemeni passport will be fined a fine not exceeding the value of the passport.
What are the consequences of damaging a Yemeni passport?,Anyone who destroys his Yemeni passport will be fined a fine not exceeding the value of the passport.
What happens if a Yemeni passport is lost?,The fine is doubled to twice the value of the passport.
Is there a fine for losing a Yemeni passport?,The fine is doubled to twice the value of the passport.
What are the penalties for losing a Yemeni passport?,The fine is doubled to twice the value of the passport.
What must be completed when replacing a lost or damaged passport?,The form must be filled out according to the instructions mentioned above.
What steps are required to replace a lost or damaged passport?,The form must be filled out according to the instructions mentioned above.
How do I replace a lost or damaged passport?,The form must be filled out according to the instructions mentioned above.
What must be attached if the passport is lost?,"A police report must be attached to each lost passport, a copy of a newspaper announcement about the loss of the passport, a clear copy of the lost passport, and a color copy of the Yemeni ID card or the American card."
What documents do I need to submit if my passport is lost?,"A police report must be attached to each lost passport, a copy of a newspaper announcement about the loss of the passport, a clear copy of the lost passport, and a color copy of the Yemeni ID card or the American card."
What is required if my passport is lost?,"A police report must be attached to each lost passport, a copy of a newspaper announcement about the loss of the passport, a clear copy of the lost passport, and a color copy of the Yemeni ID card or the American card."
Where are transactions sent from Islamabad?,The transactions are sent to one of our missions abroad that has an automatic passport issuance.
Where do transactions go from Islamabad?,The transactions are sent to one of our missions abroad that has an automatic passport issuance.
Where are documents sent from Islamabad?,The transactions are sent to one of our missions abroad that has an automatic passport issuance.
where is the embassy,House #90 Main Margalla Road  F6/2  P.O. Box 1523  Islamabad  Pakistan
إلى أين ترسل معاملة استخراج جواز السفر؟,إلى قسم الشئون القنصلية في السفارة اليمنية باسلام اباد على العنوان الآتي:
ماذا يجب على المقيمين في كازاخستان، قيرغيزستان، المالديف وأفغانستان فعل قبل إرسال المعاملة؟,يجب التواصل مع السفارة قبل إرسال المعاملة واستكمال الإجراءات.
ما هي الخطوة الأولى لتجديد الجواز؟,توفير المتطلبات المذكورة أدناه ثم تحميل الاستمارة واتباع التعليمات المحددة من الرابط الآتي: https://yemenembassy.pk/files/passport-form.pdf
كيف يجب كتابة الاسم في استمارة تجديد الجواز؟,كتابة الاسم الرباعي كاملاً باللغة العربية والإنجليزية طبقاً للوثائق الرسمية.
كيف يتم كتابة تاريخ الميلاد في استمارة تجديد الجواز؟,كتابة تاريخ الميلاد على النحو التالي (اليوم/الشهر/السنة) مثل (14/02/1983م).
ماذا يجب إرفاق في حالة طلب تصحيح في تاريخ الميلاد؟,يجب إرفاق شهادة الميلاد الأصلية أو صورة ملونة طبق الأصل عنها.
ما الاسم الذي يجب كتابته في استمارة تجديد الجواز؟,الاسم الثلاثي مع اللقب، تاريخ ومحل الميلاد، وإسم الام الثلاثي مع تحديد جنسيتها، بالاضافة الى بيانات الجواز السابق كما هو موضح بالاستمارة.
ما هو العنوان المطلوب كتابته في استمارة تجديد الجواز؟,يجب كتابة العنوان خارج اليمن في باكستان أو كازاخستان، قيرغيزستان، المالديف وأفغانستان، مع رقم هاتف صالح للاتصال.
ماذا يجب كتابة بجانب العنوان داخل اليمن؟,يجب كتابة رقم الهاتف.
كيف أبصم او استخدم البصمة وبأي أصبع عند تعبئة استمارة تجديد الجواز؟,يجب وضع بصمة إبهام اليد اليسرى والتوقيع.
ماذا يجب إرفاق مع استمارة تجديد الجواز؟,يجب إرفاق أصل الجواز السابق المراد استبداله.
ماذا يحدث للجوازات القديمة بعد استخراج الجوازات الجديدة؟,تلغى جميع الجوازات القديمة ويتم إعادتها مع الجوازات الجديدة.
هل يتم دفع أي مبالغ مالية في سفارة الجمهورية اليمنية في اسلام اباد؟,لا، وإنما يتم دفعها في البلد الذي فيه إصدار جواز آلي عن طريق الشخص المتابع للملف هناك.
كم عدد الصور الجواز المطلوبة؟,ثلاث صور جواز حديثة لم تتجاوز 6 أشهر ملونة أمامية ذات خلفية بيضاء.
ما هي مواصفات الصور المطلوبة لتجديد الجواز؟,عدم ارتداء النظارات الشمسية أو الطبية، عدم ارتداء أي غطاء رأس بتاتاً ماعدا الحجاب للنساء، مقاس 2 * 2 إنش، أو 4 في 6 سم.
ماذا يجب إرسال عند طلب تعديل المهنة؟,يجب إرسال ما يثبت المهنة الجديدة. إذا كانت المهنة تاجر أو رجل أعمال يجب إرفاق الوثائق التالية: عقد العمل أو ما يثبت ذلك، الاتفاقية التشغيلية، صورة ملونة عن البطاقة الشخصية اليمنية أو البطاقة الباكستانية إن وجدت.
ماذا يجب تعبئة عند استخراج جواز لطفل؟,تعبئة استمارة عن كل طفل مع مراعاة المتطلبات المحددة.
كيف يجب كتابة اسم المولود عند استخراج جواز لطفل؟,يجب كتابة اسم المولود الرباعي وفقاً لشهادة الميلاد.
ماذا يجب إرفاق عند استخراج جواز لطفل؟,يجب إرفاق صورة من جواز الأب، صورة من جواز الأم، وشهادة ميلاد الطفل الأصلية.
ماذا يحدث عند تلف جواز السفر اليمني؟,يغرم كل من تلف جواز سفره اليمني بغرامة لا تتجاوز قيمة الجواز.
ماذا يحدث عند فقدان جواز السفر اليمني؟,تتضاعف الغرامة إلى ضعف قيمة الجواز.
ماذا يجب تعبئة عند تبديل جواز ضائع أو تالف؟,يجب تعبئة الاستمارة حسب التعليمات المذكورة أعلاه.
ماذا يجب إرفاق عند فقدان الجواز؟,يجب إرفاق تقرير بلاغ شرطة عن كل جواز فاقد، نسخة من إعلان بالجريدة عن فقدان الجواز، صورة واضحة من الجواز المفقود، وصورة ملونة عن البطاقة الشخصية اليمنية أو البطاقة الباكستانية.
أين يتم إرسال المعاملات من إسلام أباد؟,يتم إرسال المعاملات إلى إحدى بعثاتنا في الخارج التي تمتلك إصدار جواز آلي.
هل الشئون القنصلية مسئولة عن أي تأخير أو رفض لأي معاملة ناقصة؟,لا، الشئون القنصلية غير مسئولة عن أي تأخير أو رفض لأي معاملة ناقصة أو غير مكتملة للشروط المذكورة في رابط شروط انجاز المعاملات.
ماذا يجب على صاحب المعاملة فعل قبل إرسال أصل الجواز السابق؟,يجب عليه طباعة صورة من جوازه القديم والاحتفاظ بها في مكان آمن.
لماذا يجب حفظ رقم تتبع البريد؟,للتأكد أو الاستفسار عن أي معاملتك التي تم ارسالها.
ما هي المتطلبات الأساسية لتجديد الجواز؟,تحميل الاستمارة، كتابة الاسم الرباعي، تاريخ الميلاد، اسم الأم الثلاثي، العناوين وأرقام الهواتف، بصمة إبهام اليد اليسرى والتوقيع، أصل الجواز السابق، ثلاث صور جواز.
ماذا يجب عمله إذا كان الشخص يقيم في كازاخستان، قيرغيزستان، المالديف أو أفغانستان ويريد تجديد جوازه؟,يجب التواصل مع السفارة قبل إرسال المعاملة واستكمال الإجراءات.
كيف يمكن التأكد من اكتمال المعاملة وعدم رفضها؟,باتباع جميع التعليمات المذكورة وإرفاق الوثائق المطلوبة بالكامل.
ماذا يجب على كل صاحب معاملة فعل قبل إرسال المتطلبات؟,يجب طباعة صورة من جوازه القديم والاحتفاظ بها في مكان آمن.
هل يتم دفع أي مبالغ مالية في سفارة اليمن باسلام أباد لتجديد الجواز؟,لا، يتم دفعها في البلد الذي فيه إصدار جواز آلي عن طريق الشخص المتابع للملف هناك.
ما هي الأمور التي يجب مراعاتها في صور الجواز المطلوبة؟,يجب أن تكون الصور ملونة أمامية ذات خلفية بيضاء، بدون نظارات شمسية أو طبية، بدون أي غطاء رأس عدا الحجاب للنساء، بمقاس 2 * 2 إنش، أو 4 * 6 سم.
ماذا يجب إرفاق عند طلب تعديل المهنة إلى تاجر أو رجل أعمال؟,يجب إرفاق عقد العمل أو ما يثبت ذلك، والاتفاقية التشغيلية.
هل يمكن استخدام البطاقة الباكستانية بدلاً من اليمنية؟,نعم، يمكن إرفاق صورة ملونة عن البطاقة الباكستانية إذا كانت موجودة.
ما هي الخطوات المطلوبة لتجديد جواز لطفل؟,تعبئة استمارة عن كل طفل، كتابة اسم المولود الرباعي وفقاً لشهادة الميلاد، إرفاق صورة من جواز الأب، صورة من جواز الأم، وشهادة ميلاد الطفل الأصلية.
ماذا يجب عمله عند تلف جواز السفر؟,يجب تعبئة الاستمارة، وإرفاق صورة واضحة من الجواز المفقود، تقرير بلاغ شرطة، نسخة من إعلان بالجريدة، وصورة ملونة عن البطاقة الشخصية اليمنية أو البطاقة الباكستانية.
ماذا يجب عمله عند فقدان جواز السفر؟,يجب تعبئة الاستمارة، وإرفاق تقرير بلاغ شرطة، نسخة من إعلان بالجريدة، وصورة ملونة عن البطاقة الشخصية اليمنية أو البطاقة الباكستانية.
هل الشئون القنصلية مسئولة عن أي تأخير أو رفض لأي معاملة غير مكتملة؟,لا، الشئون القنصلية غير مسؤولة عن أي تأخير أو رفض لأي معاملة ناقصة أو غير مكتملة للشروط المذكورة أعلاه.
ما هو الإجراء المتبع إذا كان الشخص مقيمًا في كازاخستان ويريد استخراج جواز جديد؟,يجب التواصل مع السفارة قبل إرسال المعاملة واستكمال الإجراءات.
ما هو المقاس المطلوب للصور الجوازية؟,2 * 2 إنش، أو 4 * 6 سم.
ماذا يحدث للجوازات القديمة بعد استخراج الجوازات الجديدة؟,تلغى جميع الجوازات القديمة ويتم إعادتها مع الجوازات الجديدة.
ماذا يجب فعله إذا كان تاريخ الميلاد في الجواز غير صحيح؟,يجب إرفاق شهادة الميلاد الأصلية أو صورة ملونة طبق الأصل عنها لتصحيح تاريخ الميلاد.
ما هي المعلومات المطلوبة لكتابة العنوان خارج اليمن؟,كتابة العنوان كاملاً مع رقم الهاتف في باكستان أو كازاخستان، قيرغيزستان، المالديف وأفغانستان.
ما هي الوثائق التي يجب إرفاقها عند طلب تعديل المهنة؟,الوثائق تشمل عقد العمل، الاتفاقية التشغيلية، وصورة ملونة عن البطاقة الشخصية اليمنية أو البطاقة الباكستانية.
اين تقع السفارة, House #90 Main Margalla Road F6/2 P.O. Box 1523 Islamabad Pakistan
كيفية التواصل مع السفارة, Contact@YemenEmbassy.pk او عن طريق الهاتف 0092512601684
متطلبات التقديم للحصول على شهادة معادلة لشهادتك اليمنية إلى الشهادات المعتمدة في جمهورية باكستان الإسلامية, 1) إستخراج شهادة عدم الممانعة NOC من السفارة من خلال تعبئة النموذج المخصص لذلك وإرساله من خلال الرابط التالي. 2) https://yemenembassy.pk/files/equivalence-form.pdf تعبئة نموذج طلب شهادة المعادلة المخصص لذلك، ويمكنك تحميله من خلال الرابط التالي. 3) إفادة جامعية BONAFIDE. 4) صورة من الجواز ولو كان فيه تمديد يتم إرفاق صورة من التمديد أيضاً. 5) صورة من آخر فيزا. 6) صور شخصية.  7) رسالة القبول سواء من وزارة التعليم العالي الباكستانية أو من وزارة الاقتصاد. ----8) شهادات الصفوف (الأول الثانوي، الثاني الثانوي، الثالث الثانوي). وتكون مصادق عليها من سفارة باكستان في أي بلد آخر، أو من السفارة اليمنية في إسلام آباد. 9) ترجمة شهادات الصفوف (الأول الثانوي، الثاني الثانوي، الثالث الثانوي). وتكون مصادق عليها من سفارة باكستان في بلد الترجمة في حال تمت الترجمة خارج باكستان، أو تكون مختومة بختم جامعة ال NUML في حال تمت الترجمة في داخل باكستان. 10) قد يكون هناك وثائق أخرى خاصة بالمدينة أو الجامعة أو التخصص لذا يفضل الاستفسار من زملائك المتواجدين في نفس الجامعة. 11) سند دفع الرسوم (يختلف من مدينة إلى أخرى).  12) https://yemenembassy.pk/equivalency-offices-ar/ يمكنك معرفة مكتب إصدار المعادلة في مدينتك من خلال الرابط التالي.
